Sequence ID	LOCATION	Habitat
3300000868-JGI12330J12834-1000008-299010-8	Don Edwards Wildlife Refuge, CA, USA	Don Edwards Wildlife Refuge, CA, USA
3300014206-Ga0172377-10000119-870930-129	municipal landfill in Southern Ontario, Canada	municipal landfill in Southern Ontario, Canada
3300014208-Ga0172379-10000243-871512-158	municipal landfill in Southern Ontario, Canada	municipal landfill in Southern Ontario, Canada
3300014208-Ga0172379-10001592-871560-40	municipal landfill in Southern Ontario, Canada	municipal landfill in Southern Ontario, Canada
3300014494-Ga0182017-10003408-872394-14	permafrost from Stordalen Mire, Sweden	permafrost from Stordalen Mire, Sweden
3300014613-Ga0180008-1001212-875221-12	groundwater, Aspo Hard Rock Laboratory (HRL) , Sweden	groundwater, Aspo Hard Rock Laboratory (HRL) , Sweden
3300018015-Ga0187866-1000629-915963-9	Peatland  at the Marcell Experimental Forest in Minnesota, USA	Peatland  at the Marcell Experimental Forest in Minnesota, USA
AntAceMinimDraft_10_1070366.scaffolds.fasta_scaffold00069_38	Ace Lake, Antarctica	Ace Lake, Antarctica
AntAceMinimDraft_10_1070366.scaffolds.fasta_scaffold00511_6	Ace Lake, Antarctica	Ace Lake, Antarctica
AntAceMinimDraft_10_1070366.scaffolds.fasta_scaffold03294_14	Ace Lake, Antarctica	Ace Lake, Antarctica
AntAceMinimDraft_10_1070366.scaffolds.fasta_scaffold06212_4	Ace Lake, Antarctica	Ace Lake, Antarctica
AntAceMinimDraft_10_1070366.scaffolds.fasta_scaffold12674_2	Ace Lake, Antarctica	Ace Lake, Antarctica
AntAceMinimDraft_10_1070366.scaffolds.fasta_scaffold19757_2	Ace Lake, Antarctica	Ace Lake, Antarctica
AntAceMinimDraft_10_1070366.scaffolds.fasta_scaffold24857_2	Ace Lake, Antarctica	Ace Lake, Antarctica
AntAceMinimDraft_14_1070370.scaffolds.fasta_scaffold00694_11	Ace Lake, Antarctica	Ace Lake, Antarctica
AntAceMinimDraft_14_1070370.scaffolds.fasta_scaffold61386_1	Ace Lake, Antarctica	Ace Lake, Antarctica
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold00713_2	Ace Lake, Antarctica	Ace Lake, Antarctica
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold01114_5	Ace Lake, Antarctica	Ace Lake, Antarctica
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold02562_2	Ace Lake, Antarctica	Ace Lake, Antarctica
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold02754_4	Ace Lake, Antarctica	Ace Lake, Antarctica
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold06785_2	Ace Lake, Antarctica	Ace Lake, Antarctica
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold06919_8	Ace Lake, Antarctica	Ace Lake, Antarctica
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold11370_2	Ace Lake, Antarctica	Ace Lake, Antarctica
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold134102_1	Ace Lake, Antarctica	Ace Lake, Antarctica
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold13455_2	Ace Lake, Antarctica	Ace Lake, Antarctica
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold15402_2	Ace Lake, Antarctica	Ace Lake, Antarctica
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold20657_2	Ace Lake, Antarctica	Ace Lake, Antarctica
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold26691_1	Ace Lake, Antarctica	Ace Lake, Antarctica
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold29013_2	Ace Lake, Antarctica	Ace Lake, Antarctica
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold31711_5	Ace Lake, Antarctica	Ace Lake, Antarctica
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold36732_2	Ace Lake, Antarctica	Ace Lake, Antarctica
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold50355_1	Ace Lake, Antarctica	Ace Lake, Antarctica
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold55385_1	Ace Lake, Antarctica	Ace Lake, Antarctica
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold72169_1	Ace Lake, Antarctica	Ace Lake, Antarctica
AntAceMinimDraft_18_1070375.scaffolds.fasta_scaffold82302_1	Ace Lake, Antarctica	Ace Lake, Antarctica
AntAceMinimDraft_4_1070372.scaffolds.fasta_scaffold00557_40	Ace Lake, Antarctica	Ace Lake, Antarctica
AntAceMinimDraft_4_1070372.scaffolds.fasta_scaffold00827_26	Ace Lake, Antarctica	Ace Lake, Antarctica
AntAceMinimDraft_4_1070372.scaffolds.fasta_scaffold00851_7	Ace Lake, Antarctica	Ace Lake, Antarctica
AntAceMinimDraft_4_1070372.scaffolds.fasta_scaffold07707_5	Ace Lake, Antarctica	Ace Lake, Antarctica
AntAceMinimDraft_4_1070372.scaffolds.fasta_scaffold10520_11	Ace Lake, Antarctica	Ace Lake, Antarctica
AntAceMinimDraft_4_1070372.scaffolds.fasta_scaffold17623_2	Ace Lake, Antarctica	Ace Lake, Antarctica
AntAceMinimDraft_4_1070372.scaffolds.fasta_scaffold18285_3	Ace Lake, Antarctica	Ace Lake, Antarctica
AntAceMinimDraft_4_1070372.scaffolds.fasta_scaffold28048_2	Ace Lake, Antarctica	Ace Lake, Antarctica
AntAceMinimDraft_4_1070372.scaffolds.fasta_scaffold34113_4	Ace Lake, Antarctica	Ace Lake, Antarctica
AntAceMinimDraft_4_1070372.scaffolds.fasta_scaffold70733_1	Ace Lake, Antarctica	Ace Lake, Antarctica
AntAceMinimDraft_4_1070372.scaffolds.fasta_scaffold83478_1	Ace Lake, Antarctica	Ace Lake, Antarctica
AntAceMinimDraft_4_1070372.scaffolds.fasta_scaffold89608_1	Ace Lake, Antarctica	Ace Lake, Antarctica
mc1328965482|Representative=gi|998585003|gb|LFCJ01001378.1|_8/1661	Lake Bitter, Kulunda steppe, Russia	Lake Bitter, Kulunda steppe, Russia
mc1330463358|Representative=gi|984778642|gb|LFUF01005182.1|_1/1417	Namib Desert Hosabes playa, Namibia	Namib Desert Hosabes playa, Namibia
mc20532409|Representative=scaffold68885_2/1553	Obsidian Pool, Yellowstone National Park, USA	Obsidian Pool, Yellowstone National Park, USA
mc35926358|Representative=scaffold16196_4/1624	Ace Lake, Antarctica	Ace Lake, Antarctica
Ace Lake-Antarctica -1402-Ga0222697_1002427_6	Ace Lake, Antarctica	Ace Lake, Antarctica
PlaIllAssembly_1097288.scaffolds.fasta_scaffold00281_9	Old Woman Creek National Estuarine Research Reserve, Ohio, USA	Old Woman Creek National Estuarine Research Reserve, Ohio, USA
RifCSPhighO2_12_1023870.scaffolds.fasta_scaffold04391_3	Rifle, Colorado, USA	Rifle, Colorado, USA
RifOxyB1_1023888.scaffolds.fasta_scaffold00046_11	Rifle, Colorado, USA	Rifle, Colorado, USA
RifOxyB1_1023888.scaffolds.fasta_scaffold05169_1	Rifle, Colorado, USA	Rifle, Colorado, USA
SAMEA2619974_10776_4	Arabian sea	Arabian sea
MGYP000681001372	Guaymas Basin, Gulf of California, Mexico	Guaymas Basin, Gulf of California, Mexico
MGYP000642661316	Guaymas Basin, Gulf of California, Mexico	Guaymas Basin, Gulf of California, Mexico
MGYP000359581082	Guaymas Basin, Gulf of California, Mexico	Guaymas Basin, Gulf of California, Mexico
MGYP000565992219	Guaymas Basin, Gulf of California, Mexico	Guaymas Basin, Gulf of California, Mexico
MGYP000347782300	Guaymas Basin, Gulf of California, Mexico	Guaymas Basin, Gulf of California, Mexico
MGYP000692789748	Guaymas Basin, Gulf of California, Mexico	Guaymas Basin, Gulf of California, Mexico
MGYP000335988725	Guaymas Basin, Gulf of California, Mexico	Guaymas Basin, Gulf of California, Mexico
MGYP000672152970	Guaymas Basin, Gulf of California, Mexico	Guaymas Basin, Gulf of California, Mexico
MGYP000597840497	Southern Mariana Trough, Pacific Ocean	Southern Mariana Trough, Pacific Ocean
MGYP000559433360	Northern Territory of Australia	Northern Territory of Australia
MGYP000353818161	Eden Landing Ponds, California, USA	Eden Landing Ponds, California, USA
MGYP000005856144	Eden Landing Ponds, California, USA	Eden Landing Ponds, California, USA
MGYP000141506420	Eden Landing Ponds, California, USA	Eden Landing Ponds, California, USA
MGYP000648692434	Eden Landing Ponds, California, USA	Eden Landing Ponds, California, USA
MGYP000103175163	Eden Landing Ponds, California, USA	Eden Landing Ponds, California, USA
MGYP000598426430-1548	Eden Landing Ponds, California, USA	Eden Landing Ponds, California, USA
WP_058826362.1	Yunnan, China	Yunnan, China
WP_007110832.1	Salt lake (Ayakekum), Altun mountain, Xinjiang, China.	Salt lake (Ayakekum), Altun mountain, Xinjiang, China.
ELY83688.1	Salt lake (Ayakekum), Altun mountain, Xinjiang, China.	Salt lake (Ayakekum), Altun mountain, Xinjiang, China.
WP_049937247.1	Dead Sea and Red Sea; Israel	Dead Sea and Red Sea; Israel
LKMP01000007_1	Lake Bitter , Russia: Kulunda steppe	Lake Bitter , Russia: Kulunda steppe
MGYP000179698888-RLG58774.1	Guaymas Basin, Gulf of California, Mexico	Guaymas Basin, Gulf of California, Mexico
RLI53188.1	Guaymas Basin, Gulf of California, Mexico	Guaymas Basin, Gulf of California, Mexico
RKX41251.1	Guaymas Basin, Gulf of California, Mexico	Guaymas Basin, Gulf of California, Mexico
RKZ11204.1	Guaymas Basin, Gulf of California, Mexico	Guaymas Basin, Gulf of California, Mexico
RLG94066.1	Guaymas Basin, Gulf of California, Mexico	Guaymas Basin, Gulf of California, Mexico
AJF63093.1	Aquifer adjacent to the Colorado River, USA	Aquifer adjacent to the Colorado River, USA
HEX32987.1	Guaymas Basin, Gulf of California, Mexico	Guaymas Basin, Gulf of California, Mexico
HDD44259.1	Guaymas Basin, Gulf of California, Mexico	Guaymas Basin, Gulf of California, Mexico
HDI72891.1	Guaymas Basin, Gulf of California, Mexico	Guaymas Basin, Gulf of California, Mexico
HHR27186.1	Great Boiling Spring, Nevada	Hot spring
WP_174701778.1	Xinjiang salt lake, China	Xinjiang salt lake, China
WP_179268568.1	Xinjiang saline soil sample, China	Xinjiang saline soil sample, China
NJD53946.1	Australia	Australia
NOZ47386.1	East Pacific Rise, Pacific Ocean	East Pacific Rise, Pacific Ocean
HGF63239.1	Yellowstone National Park, USA	Yellowstone National Park, USA
HID09282.1	Mid-Cayman Rise, Caribbean sea	Mid-Cayman Rise, Caribbean sea
WP_163487151.1	Solar saltern, India	Solar saltern
lcl|NZ_CP071597.1_prot_WP_207587115.1_2894	Salt lake, China	Salt lake, China
